文件名,类别,独热编码,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30
17.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
125.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
25.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
19.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
138.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
26.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
30.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
98.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
150.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
45.JPG,J,"1,0,0,0",22.0,10.0,22.0,13.2,22.0,16.4,22.0,19.6,22.0,22.9,22.0,26.1,22.0,29.3,22.0,32.5,22.0,35.7,22.0,38.9,22.0,42.1,22.0,45.4,22.0,48.6,22.0,51.8,22.0,55.0,22.0,55.0,20.3,55.0,18.6,55.0,16.9,55.0,15.1,55.0,13.4,55.0,11.7,55.0,10.0,55.0,10.0,55.0,9.3,52.7,8.7,50.3,8.0,48.0,8.0,48.0,10.0,49.0,12.0,50.0
